,primary_sector,count,sum,category_list,main_sector,value
110,Comparison Shopping,5,11145000.0,Comparison Shopping,"News, Search and Messaging",1
111,Computer Vision,9,46782925.0,Computer Vision,Manufacturing,1
112,Computers,128,1363512695.0,Computers,Manufacturing,1
113,Concentrated Solar Power,6,335236464.0,Concentrated Solar Power,Cleantech / Semiconductors,1
114,Concerts,20,184818000.0,Concerts,Entertainment,1
115,Console Gaming,2,5653000.0,Console Gaming,Entertainment,1
116,Construction,34,577862404.0,Construction,Manufacturing,1
117,Consulting,223,1712094763.0,Consulting,"Social, Finance, Analytics, Advertising",1
118,Consumer Behavior,2,12000000.0,Consumer Behavior,"Social, Finance, Analytics, Advertising",1
119,Consumer Electronics,123,1594833634.0,Consumer Electronics,Manufacturing,1
120,Consumer Goods,78,589115844.0,Consumer Goods,Manufacturing,1
121,Consumer Internet,41,449292316.0,Consumer Internet,"Social, Finance, Analytics, Advertising",1
122,Consumer Lending,18,321949999.0,Consumer Lending,"Social, Finance, Analytics, Advertising",1
123,Consumers,30,457328981.0,Consumers,"Social, Finance, Analytics, Advertising",1
124,Contact Centers,6,60025013.0,Contact Centers,"Social, Finance, Analytics, Advertising",1
125,Content,114,1354500170.0,Content,Entertainment,1
126,Content Creators,14,266800000.0,Content Creators,Entertainment,1
127,Content Delivery,34,561074399.0,Content Delivery,Entertainment,1
128,Content Discovery,13,46419372.0,Content Discovery,Entertainment,1
129,Content Syndication,10,430805435.0,Content Syndication,Entertainment,1
130,Contests,2,2235000.0,Contests,Entertainment,1
131,Cooking,22,376682701.0,Cooking,Health,1
132,Corporate IT,14,208432042.0,Corporate IT,"Social, Finance, Analytics, Advertising",1
133,Corporate Training,10,45644639.0,Corporate Training,"Social, Finance, Analytics, Advertising",1
134,Corporate Wellness,5,12905500.0,Corporate Wellness,Health,1
135,Cosmetic Surgery,1,12400000.0,Cosmetic Surgery,Health,1
136,Cosmetics,3,6655000.0,Cosmetics,Health,1
137,Coupons,24,171850000.0,Coupons,"Social, Finance, Analytics, Advertising",1
138,Coworking,3,47500000.0,Coworking,"Social, Finance, Analytics, Advertising",1
139,Craft Beer,4,6514003.0,Craft Beer,Entertainment,1
140,Creative,3,2050000.0,Creative,Entertainment,1
141,Creative Industries,3,9650000.0,Creative Industries,Entertainment,1
142,Credit,45,1357852000.0,Credit,"Social, Finance, Analytics, Advertising",1
143,Credit Cards,18,428181124.0,Credit Cards,"Social, Finance, Analytics, Advertising",1
144,Crowdfunding,33,259983822.0,Crowdfunding,"Social, Finance, Analytics, Advertising",1
145,Crowdsourcing,52,578654749.0,Crowdsourcing,"Social, Finance, Analytics, Advertising",1
146,Curated Web,983,8798337989.0,Curated Web,"News, Search and Messaging",1
147,Custom Retail,1,119657790.0,Custom Retail,"Social, Finance, Analytics, Advertising",1
